PPI
95.30
96.07
102.72
105.92
100.29
102.78
107.62
111.12
105.61
108.88
113.02
116.59
111.25
115.49
119.27
123.77
118.53
122.76
126.44
130.86
125.06
127.57
129.81
133.02
130.92
