2,3,5,7
3,5,7,8
5,7,8,8
7,8,8,14
8,8,14,14
8,14,14,14
14,14,14,19
14,14,19,19
14,19,19,19
19,19,19,19
19,19,19,25
19,19,25,25
19,25,25,25
25,25,25,25
25,25,25,32
25,25,32,32
25,32,32,32
32,32,32,33
32,32,33,33
32,33,33,33
33,33,33,33
33,33,33,33
33,33,33,34
33,33,34,35
33,34,35,35
34,35,35,35
35,35,35,35
35,35,35,35
35,35,35,35
35,35,35,35
35,35,35,35
35,35,35,37
35,35,37,40
35,37,40,40
37,40,40,41
40,40,41,42
40,41,42,42
41,42,42,43
42,42,43,43
42,43,43,43
43,43,43,47
43,43,47,48
43,47,48,50
47,48,50,50
48,50,50,50
50,50,50,53
50,50,53,59
50,53,59,70
53,59,70,75
59,70,75,82
70,75,82,114
75,82,114,147
82,114,147,177
114,147,177,212
147,177,212,272
2,1,2,2
1,2,2,4
2,2,4,4
2,4,4,7
4,4,7,7
4,7,7,11
7,7,11,15
7,11,15,20
11,15,20,20
15,20,20,20
20,20,20,22
20,20,22,22
20,22,22,45
22,22,45,25
22,45,25,25
45,25,25,26
25,25,26,26
25,26,26,26
26,26,26,28
26,26,28,28
26,28,28,29
28,28,29,43
28,29,43,59
29,43,59,66
43,59,66,74
59,66,74,84
66,74,84,94
74,84,94,105
84,94,105,122
94,105,122,147
105,122,147,159
122,147,159,170
147,159,170,189
159,170,189,214
170,189,214,228
189,214,228,241
214,228,241,256
228,241,256,274
241,256,274,293
256,274,293,331
274,293,331,360
293,331,360,420
331,360,420,461
360,420,461,502
420,461,502,511
461,502,511,581
502,511,581,639
511,581,639,639
581,639,639,701
639,639,701,773
639,701,773,839
701,773,839,825
773,839,825,878
839,825,878,889
825,878,889,924
1,3,3,4
3,3,4,5
3,4,5,7
4,5,7,7
5,7,7,10
7,7,10,13
7,10,13,16
10,13,16,18
13,16,18,18
16,18,18,24
18,18,24,28
18,24,28,28
24,28,28,30
28,28,30,33
28,30,33,40
30,33,40,45
33,40,45,47
40,45,47,50
45,47,50,58
